user_id,name,email,role
a9171823-6ada-4df6-a81b-784ee370f5f5,Arthur Lewis,alewis@tamu.edu,Testing Staff
6a8e9d21-bf0d-42b5-9bb5-e60a5e67aec0,Joann White,jwhite@tamu.edu,Coordinator
78b5afc8-38b5-4736-9780-b695f84c9caf,Brian Armstrong,barmstrong@tamu.edu,Tech Staff
ff72f125-ebf9-4b96-854d-50442a537840,Roger Terry,rterry@tamu.edu,Testing Staff
67aaab35-9cf9-462c-bfcb-e5be73edd8e7,Allison Wilson,awilson@tamu.edu,Testing Staff
235c0a03-4764-4186-b596-efb9e40ca9e7,Austin Farmer,afarmer@tamu.edu,Coordinator
bf5adeb1-cd55-49bd-a2b1-f9085a2c4e36,Kevin Hoover,khoover@tamu.edu,Tech Staff
1265f9bc-d487-4597-a362-6d9934f9c81c,Kaitlyn Sullivan,ksullivan@tamu.edu,Admin
25db4309-04c2-456d-a01c-43500249fe4e,Felicia Collins,fcollins@tamu.edu,Coordinator
52d3c069-e71a-4a0a-80fe-e2daeef56f5f,Emily Bender,ebender@tamu.edu,Tech Staff
96dd9548-4e5c-4c01-886f-56914e6565e4,Marie Carter,mcarter@tamu.edu,Tech Staff
4192d9af-6152-484e-8407-630249c9a002,James Wood,jwood@tamu.edu,Coordinator
7f5e7724-31a0-42cb-9dd3-7b5f219115f3,Holly Tran,htran@tamu.edu,Admin
70878d51-2234-495e-80e0-54cb22fc9e34,Jamie Small,jsmall@tamu.edu,Tech Staff
19915fcc-56fe-4dd8-acc4-a575ecf5d1b8,Mary Lynch,mlynch@tamu.edu,Tech Staff
c009bcb1-3586-4714-a8e1-45741da943d8,Derek Gillespie,dgillespie@tamu.edu,Tech Staff
9a64eb2a-0824-48a2-8416-dbd47728db26,Caleb Fleming,cfleming@tamu.edu,Admin
f42c071b-ca43-4d9a-b425-3a58bf11004b,Julia Ortega,jortega@tamu.edu,Admin
514e12f6-b53b-4277-b358-d805fa2dc763,Brent Jarvis,bjarvis@tamu.edu,Tech Staff
9f16cc7a-3f4b-48c1-8135-42faba72419b,Frances Williams,fwilliams@tamu.edu,Coordinator
5bfdc4c0-b034-4462-9691-5564ba17656d,Carolyn Webster,cwebster@tamu.edu,Admin
82549889-e7ca-4beb-bc7c-75810493c001,Amanda Perez,aperez@tamu.edu,Testing Staff
50f05d78-2778-4029-a1dd-fdf53f615219,Jessica Rangel,jrangel@tamu.edu,Admin
366a1779-78fa-4139-95f4-acf1737c68df,Rebecca Chambers,rchambers@tamu.edu,Coordinator
73f7939a-cba2-4632-ba51-0b585f9cd9f8,Carlos Chang,cchang@tamu.edu,Testing Staff
a2149936-d273-45a4-bad7-379b50b13aef,Jean Oneal,joneal@tamu.edu,Coordinator
02f38088-24e3-424d-8ff1-0ef6ecd0c221,Janet Warren,jwarren@tamu.edu,Coordinator
ca4c6793-9c57-486d-a1f6-96a5f340cc6c,Jacob Ford,jford@tamu.edu,Admin
e05f7333-73a0-4a6e-8ca8-8304f0c111ff,William Perry,wperry@tamu.edu,Testing Staff
2c69c38b-bb99-4710-88d2-9b381ea2d259,Anthony Burns,aburns@tamu.edu,Admin
557bed21-4397-497b-8da9-bd16383b0895,Scott Anderson,sanderson@tamu.edu,Tech Staff
032d4f0f-ad8e-484e-802c-c389ec7ad342,George Turner,gturner@tamu.edu,Coordinator
b3f8353d-1171-4403-8746-76cf5e820487,Jeffrey Alexander,jalexander@tamu.edu,Tech Staff
f7009e1f-53e2-4761-a6f0-e1b9d633b6ac,Taylor Smith,tsmith@tamu.edu,Testing Staff
2c43f03e-c985-4229-8925-2db1ed4dd548,Cheryl Brown,cbrown@tamu.edu,Tech Staff
84d60ef4-b128-40cd-94a8-946cfeb75dde,Alicia Brown,abrown@tamu.edu,Testing Staff
52d7c126-b6d0-458e-8a98-3a8f0bdf88ce,Jillian Smith MD,jsmith@tamu.edu,Admin
852b2af5-0933-44b4-aca5-1c7f39654c55,Lorraine Jones,ljones@tamu.edu,Tech Staff
a710bed8-b40d-4a37-a195-a1d751601a6f,Kevin Ortiz,kortiz@tamu.edu,Coordinator
b5f68c05-3e15-447e-a584-32e2d79bf2ae,Samantha Mccullough,smccullough@tamu.edu,Testing Staff
cf6b1261-e274-489d-b2d7-2c665ec26160,Lee Bishop,lbishop@tamu.edu,Coordinator
ceb52189-4e32-4589-af7b-2cc700f8ad05,John Macias,jmacias@tamu.edu,Testing Staff
f5983e8e-772e-495d-923f-6a8dcc2f3337,Duane Cowan,dcowan@tamu.edu,Coordinator
4f0a598c-8142-4925-856e-9fd8c8f3f5d1,Jennifer Wang,jwang@tamu.edu,Coordinator
44030716-05dd-4f5f-b0e9-515c422ba9b2,Melissa Young,myoung@tamu.edu,Tech Staff
3a568319-29ed-416d-92e9-1ce79c179567,Kyle Snow,ksnow@tamu.edu,Testing Staff
d741cb1c-5102-4c0a-8bfc-f8d486e87fc4,Robin Ayers,rayers@tamu.edu,Tech Staff
ef146da3-3470-46ab-8355-846d2cc25d8c,Richard Terry,rterry@tamu.edu,Coordinator
592fd927-73e1-4f71-85db-4cfe29a14653,Terrence Bruce,tbruce@tamu.edu,Tech Staff
cbc30a95-a0b6-4bd4-81d3-42e86bf877e0,Christina Gross,cgross@tamu.edu,Admin
7b312615-6888-410e-803d-79760d6689d1,Nancy Gonzalez,ngonzalez@tamu.edu,Coordinator
500fef87-d686-4779-9b3c-ba426a6fa7a7,David Johnson,djohnson@tamu.edu,Testing Staff
5a25f9f4-22f4-4421-9e65-9f3a11e21ae9,John Thomas,jthomas@tamu.edu,Tech Staff
b16e3861-24f5-4f48-9008-ccc26b57508f,Cynthia Romero,cromero@tamu.edu,Tech Staff
6c077f03-7282-44f6-be3b-5f7ac072c1b4,Robert Holt,rholt@tamu.edu,Coordinator
3c009fd3-40ee-43c9-b804-4a0586273fb7,Brandy Thornton,bthornton@tamu.edu,Tech Staff
52a861fe-eac7-47c8-ba35-3a4bf2349b7d,Richard Rubio,rrubio@tamu.edu,Admin
ea0df3eb-317c-4797-83da-101a92a6b64a,Drew Glass,dglass@tamu.edu,Testing Staff
3e9052bc-b530-4736-95f6-a97f326a8e0e,Amanda Jenkins,ajenkins@tamu.edu,Testing Staff
df9f2856-ca4b-4b7e-8bfc-516e4d508ca3,David Jacobs,djacobs@tamu.edu,Tech Staff
98981178-55dd-4ade-ae6e-132d9ab7d652,Jesse Pacheco,jpacheco@tamu.edu,Coordinator
1ce24e27-e96b-46bb-a627-1a755039d01e,Robert Smith,rsmith@tamu.edu,Tech Staff
c04e2b59-5c06-4558-8468-e918a2f9b9e5,Ronald Johnson Jr.,rjohnson@tamu.edu,Tech Staff
74b1362e-8995-4487-b1fb-d9f9de1312e5,Eric Thomas,ethomas@tamu.edu,Testing Staff
aa96a76d-faf4-4bf9-8d1d-823076f56581,Tara Reynolds,treynolds@tamu.edu,Testing Staff
aca3fed3-3a63-4a76-b169-f054bdfd3665,James Jordan,jjordan@tamu.edu,Testing Staff
57a6a376-2d3b-4e8c-a074-806439ae27de,Shannon Howard,showard@tamu.edu,Admin
4d55d4e4-940a-4985-9e07-bd74fc67d79a,Christina Martin,cmartin@tamu.edu,Testing Staff
4a6a2643-d5d0-4544-814e-12728cf9bdb5,Jacob Pittman,jpittman@tamu.edu,Testing Staff
