user_id,user_email,user_password,user_role,name
e26ab447-4f91-4e3d-bb3f-18ce2e7a0440,atucker@tamu.edu,f0da1913-ed83-40d7-8ee6-fe83ca2b0dc5,Student,Anthony Tucker
dfba34f0-9bf3-453d-bc9c-0ae3d73a9c18,jwest@tamu.edu,7af185f4-f8c5-4b04-bd8a-61600bf387f6,Professor,Jaime West
80bb2ae3-77e8-491b-b434-b9a72381137c,djohnson@tamu.edu,1016d389-9c9e-44da-b30b-cece0c09581b,Student,Daniel Johnson
e717ef3a-7fbb-4b8e-ac42-f18bfc5b0a21,krichards@tamu.edu,6d27e3f8-52b8-4ec0-b93b-637d9784801f,Professor,Katie Richards
b3ba7582-7f54-4f98-a535-d6e984093637,jboone@tamu.edu,301a70f9-b4ac-4930-baac-a4d470260cf9,Student,Joseph Boone
f34ca263-5bce-42d8-ac0b-fb563ec7f49f,tberg@tamu.edu,88af33f0-a95e-49cc-b648-3a09cbebf7e3,Student,Taylor Berg
84c673ee-d5d9-40de-85e5-5c5f8cc6df85,vgomez@tamu.edu,9676ed9f-fe4b-4d0d-a5dd-b2eeba3a20c2,Student,Veronica Gomez
5c37e355-2606-4aa7-97e5-9d7db6566282,cmoore@tamu.edu,16c53637-c37b-4965-8dc1-1f9d6f155047,Student,Crystal Moore
a60e100e-627f-46a7-ab73-8d5b69d74482,ahood@tamu.edu,7f72a5a9-88a2-40d8-88ff-e819e09662ac,Student,Andrea Hood
fe5700cb-b391-43c4-bc1e-cee971292e4a,aschroeder@tamu.edu,bde9198a-3eea-4ca2-b474-47e3183fa3de,Professor,Anna Schroeder
0c749b07-5164-44da-83a7-4c0b7cd6c0e4,lpatterson@tamu.edu,db6a8ade-153b-4aa4-a074-8748bb2ee882,Student,Laura Patterson
7a8cee4d-5391-44b7-b17c-208708e0ecee,tmcdowell@tamu.edu,fe472816-9e7c-4df0-8acd-ec8ad8ae7bdc,Advisor,Terri Mcdowell
753df68e-ecf0-4157-81c9-fd4c2ce127cd,scallahan@tamu.edu,c456d7a5-cdb6-418a-8647-c5e12304bcba,Student,Susan Callahan
