user_id,user_name,user_email,advisor_id,dob,uin,phone_number,notes
2ba45388-19d4-45af-a175-4a5197030e92,celliott@tamu.edu,Colin Elliott,4325d41a-c24e-4e04-a99c-e016c8ea9843,1996-03-07,76008147,001-275-979-2066x5645,Single most theory office station article. Country religious child color move call before.
99cc0ef7-a037-4d35-bfc0-d233076ace89,jgarrett@tamu.edu,Judith Garrett,8ec71509-8d21-4e1e-854e-2e220223eb79,1995-08-03,93007239,7955867402,Today finish human. Capital thousand Democrat which herself.
27ff66b1-cb96-4f43-bf31-3cd7d9d716ae,sbennett@tamu.edu,Shawn Bennett,4b58cff4-3c93-4aa0-891a-a67fc31784b0,2005-05-31,17004237,(226)267-9907x626,Add only very system when those rate. Deep yourself specific inside expert listen.
ca877ae3-7622-4697-b9dd-da479d4d844d,sbell@tamu.edu,Samuel Bell,adc70bef-c310-4d27-9d65-309df1b14f16,2006-07-09,66006365,588.929.7422x278,Sound full agree when. Cup life house decision.
0da6c691-01cf-41d9-8b3b-31afc1ed3e00,jgomez@tamu.edu,Joseph Gomez,d695421a-5b48-4409-b1ef-ea2ae91c3e3f,1994-11-02,66001046,+1-231-894-1135x6684,City rest executive into happy especially campaign. Generation as speak population cost practice defense. Shake federal bag.
c7bf6f68-fcbf-48dc-bd18-1ee8ed655942,csmith@tamu.edu,Courtney Smith,e2b799a1-120b-4a82-aa73-2e1b2c4842e5,2003-06-06,57007912,363.328.5051,Catch serve again only. Option focus effort prove it. Family dream help enough.
96e89e97-259c-43da-b45a-939cc458dc53,mgarcia@tamu.edu,Mark Garcia,91b1abc2-4e49-41c2-8970-d54a34809c8e,1996-05-31,97000289,001-308-314-4349x38609,Federal star as change level worker activity. Much into along rule eight.
a815f04f-4521-44d5-a48e-9c68128241e5,lortiz@tamu.edu,Lisa Ortiz,232fe5d9-36dd-4df4-8769-450d6fdb7ede,1994-11-22,43004149,+1-304-966-3449x0849,Attorney behavior federal could central four.
790ba5e0-b3e8-48e3-ac88-e3500b9954fd,jschroeder@tamu.edu,Jessica Schroeder,3cd25aee-0d51-443a-bf56-90e93627d83b,2000-06-02,33003454,001-222-692-7437,Stage know finish term wish next research. Mrs baby difficult Congress list. Vote record color say enter bar.
9494d26f-7a47-45ff-bd02-f4bcc59fc4a9,ejohnson@tamu.edu,Elizabeth Johnson,a0db30a3-1094-451f-ba70-944684ddc6dc,2002-11-27,24003502,+1-590-240-2582x713,Wall wonder quality manage program southern wish. Certainly offer arrive.
31480ebc-03eb-47e6-86c8-eed15c3adb69,cbarry@tamu.edu,Christopher Barry,ad71f4cf-ebc5-4040-8ec6-2d043feda196,1997-01-16,37000551,535.597.0625,Option recently fight word fund possible kid. Answer successful admit what. Power agreement really.
1008a1ba-c90c-4014-9a3d-5dd04e2b7882,ajones@tamu.edu,Andrea Jones,da89b5bf-c0fb-4060-b4f8-a9533d4bd9de,2005-02-06,49005237,286.653.1291x0854,Reality morning forget wait. Evidence last quite there about.
0972e473-6fb9-40e4-9dde-b4081b8e65c4,wwillis@tamu.edu,William Willis,525c09e6-cc07-471b-81b1-523315f36a55,2004-05-18,31006131,001-330-581-0853x98393,Role tough develop boy follow. Throw surface true management later task respond mind. Cold who scientist store explain.
3c7607a1-5018-4f41-bba6-6569030acb59,dhicks@tamu.edu,Deborah Hicks,66241c2d-0d4c-457d-b072-9d074d3c4812,1996-05-11,40001739,001-569-752-1372x4144,Finish value power leader. Short debate him statement tax dream main. Special need class window.
14c9c88f-c094-43fe-8ecd-d499a2688001,jenglish@tamu.edu,John English,ebfb03bf-e04d-453b-9c61-a92032fa0277,2000-11-21,82009511,(962)704-2772x999,Yeah summer opportunity board recognize my.
21df7cea-b56c-4774-ab43-5f41dee84b89,shill@tamu.edu,Sharon Hill,9b8ad822-b76e-46f5-9af3-6bdbc2766dd8,2006-12-04,85006724,777-771-3423x902,Defense month difficult meeting east better. Single memory final wide. Election chair rule opportunity wonder produce detail.
56098fbf-4e35-42c1-be4c-869176f74df8,aduncan@tamu.edu,Alison Duncan,00aba78a-6989-4f38-83a8-3981052253c2,1996-06-09,52009091,956-761-6497,They garden where recognize city as property. Relate eye very onto growth buy production soon. Mind tree return to.
